method,path,body,single_q,double_q,spaces,braces,badwords,class
POST,/1/events/com.amazon.csm.csa.prod,"{""events"":[{""data"":{""schemaId"":""robotdetection.RdCSI.1"",""eventType"":""efo"",""clientData"":{""t"":""50288"",""s"":""default""},""timestamp"":""2023-11-04T13:33:17.366Z"",""messageId"":""36dmbt-c00tdn-kyrqrq-afqvxl"",""application"":""Retail:Prod:www.amazon.in"",""obfuscatedMarketplaceId"":""A21TJRUUN4KGV"",""producerId"":""robotdetection"",""entities"":{""page"":{""id"":""f281zu-lm6tyn-unvuuc-xmglsw"",""requestId"":""6XHGBC60K7X404235T2J""},""session"":{""id"":""259-7074646-0826008""}}}},{""data"":{""messageId"":""bel4e8-sehhfl-l73704-o7q59q"",""schemaId"":""csa.ContentInteractionsSummary.1"",""w"":{""jjbulc-wlk3gj-4r1w5i-jtv4vm"":{""it0"":857,""it100"":859},""dteytr-vz4gkt-32cdjr-vpm09u"":{""it0"":857,""it100"":859},""mmr6su-wqghjl-cuxk2r-msqbtf"":{""it0"":857,""it100"":859},""w6sdqb-2sg4bw-nrfexb-wwuc1j"":{""it0"":857,""it100"":859},""kgg0ws-5de9ck-5m4k4n-5tomwn"":{""it0"":857,""it100"":859},""kd5g8k-b9wkm3-g57ngq-bzquzt"":{""it0"":857,""it100"":859},""qfgreq-hcfssa-6xr81-1h5nnu"":{""it0"":857,""it100"":859},""32ukeh-2g8k8b-pndkey-8p3fdk"":{""it0"":857,""it100"":859},""2mtr3u-72qtg6-7kgjg1-5dgtiy"":{""it0"":857},""sqe0h0-unjvhw-s7unyr-4gdvm2"":{""it0"":857},""quzb4q-cxywgx-949htz-qc37si"":{""it0"":857},""ywdtrs-2h9fqg-xmsqgp-3m7ytq"":{""it0"":857},""bahrk3-pfouv4-qapjzt-76ep4u"":{""it0"":857,""it100"":859},""vncrri-etd97-mellah-rtaizo"":{""it0"":857,""it100"":859},""fggf6o-u7mezx-nxy753-wt26tw"":{""it0"":857,""it100"":859},""s8k6e5-2diac8-ioasr2-mllvrk"":{""it0"":857,""it100"":859},""yon6ra-la9pf7-8epxt1-oc6xau"":{""it0"":857,""it100"":859},""5ep0fd-ytfueu-euyc5e-2img9u"":{""it0"":857,""it100"":859},""cdsdwx-b3ptvx-5f0ykk-mw9b9z"":{""it0"":857,""it100"":859},""rm9xhn-8wf646-tt6e24-62nfaw"":{""it0"":857,""it100"":859},""9fi6wd-s2q74f-vkz6ny-knk32d"":{""it0"":857,""it100"":859},""lcblph-gogv0d-o979gj-s53cl9"":{""it0"":857,""it100"":859},""fn4d2x-p0v2fj-extbwo-7actns"":{""it0"":857,""it100"":859},""wfgihg-gotp6r-31uddy-pdb4d9"":{""it0"":857,""it100"":859},""jm2uym-mo7t9-665ny8-84g1uz"":{""it0"":857,""it100"":859},""3q9hsn-i3jh0q-jzk3s-cg9bzb"":{""it0"":857,""it100"":859},""26ckla-nmfmu1-5jytg8-stv81"":{""it0"":857,""it100"":859},""t61z1p-59hghn-n6f1n5-psza58"":{""it0"":857,""it100"":859},""iv2pzi-dbkw1v-1ra13a-w500x0"":{""it0"":857,""it100"":859},""8kr0wy-hlmxc6-v26qz7-nga370"":{""it0"":857,""it100"":859},""iknnb-t5xkgl-emah8d-30vquk"":{""it0"":857,""it100"":859},""kkgc8v-ds9zmy-xum2is-5gtn5z"":{""it0"":857},""tghfoc-fht0wx-5cfn6y-9muqvw"":{""it0"":857,""it100"":859},""hk76p5-cr6i7h-jjx8rv-i4z5w9"":{""it0"":857}},""timestamp"":""2023-11-04T13:33:18.222Z"",""application"":""Retail:Prod:www.amazon.in"",""obfuscatedMarketplaceId"":""A21TJRUUN4KGV"",""producerId"":""csa"",""entities"":{""page"":{""id"":""f281zu-lm6tyn-unvuuc-xmglsw"",""requestId"":""6XHGBC60K7X404235T2J""},""session"":{""id"":""259-7074646-0826008""}}}},{""data"":{""schemaId"":""robotdetection.RdCSI.1"",""eventType"":""ebl"",""clientData"":{""t"":""51147"",""s"":""default""},""timestamp"":""2023-11-04T13:33:18.225Z"",""messageId"":""vktfl4-utcrk4-e5wucm-ku7f8r"",""application"":""Retail:Prod:www.amazon.in"",""obfuscatedMarketplaceId"":""A21TJRUUN4KGV"",""producerId"":""robotdetection"",""entities"":{""page"":{""id"":""f281zu-lm6tyn-unvuuc-xmglsw"",""requestId"":""6XHGBC60K7X404235T2J""},""session"":{""id"":""259-7074646-0826008""}}}},{""data"":{""activity"":{""scrollCounts"":0,""reachedDepth"":929,""horizontalScrollDistance"":0,""dwellTime"":4440},""dimensions"":{""availableScreenWidth"":1920,""availableScreenHeight"":1045,""documentWidth"":1920,""documentHeight"":4874,""screenWidth"":1920,""screenHeight"":1080,""viewportWidth"":1920,""viewportHeight"":929},""schemaId"":""csa.PageInteractionsSummary.1"",""timestamp"":""2023-11-04T13:33:18.225Z"",""messageId"":""spyci9-s91c35-jr0ptz-fz2t9r"",""application"":""Retail:Prod:www.amazon.in"",""obfuscatedMarketplaceId"":""A21TJRUUN4KGV"",""producerId"":""csa"",""entities"":{""page"":{""id"":""f281zu-lm6tyn-unvuuc-xmglsw"",""requestId"":""6XHGBC60K7X404235T2J"",""pageType"":""Gateway"",""subPageType"":""desktop""},""session"":{""id"":""259-7074646-0826008""}}}},{""data"":{""schemaId"":""robotdetection.RdCSI.1"",""eventType"":""efo"",""clientData"":{""t"":""51759"",""s"":""default""},""timestamp"":""2023-11-04T13:33:18.837Z"",""messageId"":""4as9vb-ihtdwe-cjoryc-9w2ydu"",""application"":""Retail:Prod:www.amazon.in"",""obfuscatedMarketplaceId"":""A21TJRUUN4KGV"",""producerId"":""robotdetection"",""entities"":{""page"":{""id"":""f281zu-lm6tyn-unvuuc-xmglsw"",""requestId"":""6XHGBC60K7X404235T2J""},""session"":{""id"":""259-7074646-0826008""}}}},{""data"":{""schemaId"":""robotdetection.RdCSI.1"",""eventType"":""ebl"",""clientData"":{""t"":""51762"",""s"":""default""},""timestamp"":""2023-11-04T13:33:18.840Z"",""messageId"":""eybqev-kmx3tj-nbidg0-gom5fj"",""application"":""Retail:Prod:www.amazon.in"",""obfuscatedMarketplaceId"":""A21TJRUUN4KGV"",""producerId"":""robotdetection"",""entities"":{""page"":{""id"":""f281zu-lm6tyn-unvuuc-xmglsw"",""requestId"":""6XHGBC60K7X404235T2J""},""session"":{""id"":""259-7074646-0826008""}}}},{""data"":{""activity"":{""scrollCounts"":0,""reachedDepth"":929,""horizontalScrollDistance"":0,""dwellTime"":4442},""dimensions"":{""availableScreenWidth"":1920,""availableScreenHeight"":1045,""documentWidth"":1920,""documentHeight"":4874,""screenWidth"":1920,""screenHeight"":1080,""viewportWidth"":1920,""viewportHeight"":929},""schemaId"":""csa.PageInteractionsSummary.1"",""timestamp"":""2023-11-04T13:33:18.840Z"",""messageId"":""ae74an-52upt3-1otdsl-7mztp0"",""application"":""Retail:Prod:www.amazon.in"",""obfuscatedMarketplaceId"":""A21TJRUUN4KGV"",""producerId"":""csa"",""entities"":{""page"":{""id"":""f281zu-lm6tyn-unvuuc-xmglsw"",""requestId"":""6XHGBC60K7X404235T2J"",""pageType"":""Gateway"",""subPageType"":""desktop""},""session"":{""id"":""259-7074646-0826008""}}}}]}",0,636,33,158,4,good
POST,/1/batch/1/OE/,"{""rid"":""6XHGBC60K7X404235T2J"",""sid"":""259-7074646-0826008"",""mid"":""A21TJRUUN4KGV"",""sn"":""www.amazon.in"",""reqs"":[{""cap-ciba"":{""k"":""fwcim"",""r"":""6XHGBC60K7X404235T2J"",""p"":""https://www.amazon.in/?&ext_vrnc=hi&tag=googhydrabk1-21&ref=pd_sl_7hz2t19t5c_e&adgrpid=58355126069&hvpone=&hvptwo=&hvadid=678711876615&hvpos=&hvnetw=g&hvrand=13799341232396299986&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9062139&hvtargid=kwd-10573980&hydadcr=14453_2371562"",""c"":null,""t"":1699104781696,""type"":""inc"",""md"":""ECdITeCs:6vJsZpavD4ZGKaERww9SesRNZVYgBGzEwJcTMBrAs/UaHcSSusUbI70EpLYW8mu+0zsi0msFOPii8lcsG81o7v3wY4uOUol9hzgTVlsEKKQ5a0Qa0pdGTcl7fle6PRsJIIdTZQOEINzVNTYvrYXRKSM507gr81+qAhgRy0MguAxQIcdFqm+rBFBf2wjSuLvg""}},{""cap-ciba"":{""k"":""fwcim"",""r"":""6XHGBC60K7X404235T2J"",""p"":""https://www.amazon.in/?&ext_vrnc=hi&tag=googhydrabk1-21&ref=pd_sl_7hz2t19t5c_e&adgrpid=58355126069&hvpone=&hvptwo=&hvadid=678711876615&hvpos=&hvnetw=g&hvrand=13799341232396299986&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9062139&hvtargid=kwd-10573980&hydadcr=14453_2371562"",""c"":null,""t"":1699104786585,""type"":""inc"",""md"":""ECdITeCs:49j6UC+7yJ7sBUevdtNcsjD9G70WWgvCKQ3HVaOGcdQjzKHgI+EivL0wuHDEhfDvnNxirw2uOoRSNujmQcHE3cqw/CKIjLzaTj1fn8GKTUgXi5GM+00j7S6n/Noz1cNsXZKw1bKYmljOgSjoDLSpH38qcylZQk7H3D0jJ62vd1ahln3VxgOWzE5ozvJeCvEq""}},{""cap-ciba"":{""k"":""fwcim"",""r"":""6XHGBC60K7X404235T2J"",""p"":""https://www.amazon.in/?&ext_vrnc=hi&tag=googhydrabk1-21&ref=pd_sl_7hz2t19t5c_e&adgrpid=58355126069&hvpone=&hvptwo=&hvadid=678711876615&hvpos=&hvnetw=g&hvrand=13799341232396299986&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9062139&hvtargid=kwd-10573980&hydadcr=14453_2371562"",""c"":null,""t"":1699104791699,""type"":""inc"",""md"":""ECdITeCs:0teNSmXg1q6m/RnjbwDcZaRFjmJRo0GcmkZ9C9gesQpWkESey8dF5vWnmKOVSjQ56EFkdqMs2/RgRr1geL0G91fUVB9Ibfuf7aGfVImcZwuQwvNu8zDRAzyW6boJ6+0bXu2fETiP0X7pBJy2bnnUwlc1WepTkF3vLY4XmINUEOhTrAUI45Nry1neaFWF5xs3BPNAuOrl2D4u+LbsONwQeJXDFJX/dRNMdvRamD7AOzUu6NxMgud2J+vpNdbrakRQ2HpC6Gyu+OFBzwfP+NlnETy67k0LruvfD/E7Qi8EyNx2JEi+keeO0kQra5gWw1uYA/FeoVvQi5s5iX5etFTIVLiRdKDmaPa5ybACdE2Ze4FRGMuZY2z5d0PFjNcrfLLslfU+pFteRbG5IBpHqzgdqF3yXUiPCaeQgPEFVkVkG/lOCcXN9nwsK5YfTR+QbaAldzTyGNiYHlB5n9jCtwIYi5IGoOqnhktBktVneHgAusGUrgCG1HxAqmptaKPGj2PQ17AE9P9OiW1J98ltMhp3ZsYFoLZ1feWJqQGUt7oPzBQt+Pis1rg2pys7QT1Ks75I5CfyJW1xwbIDrolpZeAQXqIMv4VKqFeCXL7Khtqa78S12wIrG7fuWHPmimARpeaQMpuXqMkLUdFK4qn5vJ5PzShI2U7Qv/VQG7Z6kBFykfTMe7SJeLW+SwliSPQcx6DXbpl01H7yVwqdk8YfZxI2bPypmMcn92h52Qj1i3X5T0o9Q8/CSvvSYQ==""}},{""cap-ciba"":{""k"":""fwcim"",""r"":""6XHGBC60K7X404235T2J"",""p"":""https://www.amazon.in/?&ext_vrnc=hi&tag=googhydrabk1-21&ref=pd_sl_7hz2t19t5c_e&adgrpid=58355126069&hvpone=&hvptwo=&hvadid=678711876615&hvpos=&hvnetw=g&hvrand=13799341232396299986&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9062139&hvtargid=kwd-10573980&hydadcr=14453_2371562"",""c"":null,""t"":1699104796698,""type"":""inc"",""md"":""ECdITeCs:4+McQQyTh4u036/0IGsOusXIev87QIhngzHMWT8B7r/QhnlUx5yChIdG1b+2uGlxMLJsuAAamdZJ/ybdn/14uPh39DiEw/b8Qd+zu+ppNA+wvD8IRPh96H8S999+Py/nI0I1cVTwmiEJCeYfy3awxYWzrPxNOzwBJyW5jlYaKR/z7AYKOFy6o9nPkk4BdkCi""}},{""cap-ciba"":{""k"":""fwcim"",""r"":""6XHGBC60K7X404235T2J"",""p"":""https://www.amazon.in/?&ext_vrnc=hi&tag=googhydrabk1-21&ref=pd_sl_7hz2t19t5c_e&adgrpid=58355126069&hvpone=&hvptwo=&hvadid=678711876615&hvpos=&hvnetw=g&hvrand=13799341232396299986&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9062139&hvtargid=kwd-10573980&hydadcr=14453_2371562"",""c"":null,""t"":1699104801699,""type"":""inc"",""md"":""ECdITeCs:2z3X+UXslMV8+JGfo6UE+6UPTcj26yNEODZ3GtKsNHl6xrVwf6Xts7ypa1XuuTZHF/qRL/OFry0t1t5wvDg3kofaf66X/VX081ZNZIeAkgSdXiOHsvpLPXk6tEMutqk3hjx9ylqIuxZ6pnSl0mkgOhI3dZ9nIXa/R7Qx01pbA7Xw5CtkAKHGdH+WTQmVyUy0vsr74SyJVFMrV1+pdDf6P6LbeABUCRZ44HFicw8b6nwvZIlhRr0LJKnme0YSKqxnvL4aZ+Ac2f/UechZfspDGDFUpA/Ij2X4K/ZEsepFgWtl82R3wv5pTT9k8BM0z9hSXFOaKztJRWNODEzbTY7Pi4wTsAZ51Kzs1njcoJU339S6VAnQkPW3BjACxFThrbx0Zc3ASviMqKg8aVk4NfVzlbxGEVbj8qTqQcuX7g==""}},{""cap-ciba"":{""k"":""fwcim"",""r"":""6XHGBC60K7X404235T2J"",""p"":""https://www.amazon.in/?&ext_vrnc=hi&tag=googhydrabk1-21&ref=pd_sl_7hz2t19t5c_e&adgrpid=58355126069&hvpone=&hvptwo=&hvadid=678711876615&hvpos=&hvnetw=g&hvrand=13799341232396299986&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9062139&hvtargid=kwd-10573980&hydadcr=14453_2371562"",""c"":null,""t"":1699104806699,""type"":""inc"",""md"":""ECdITeCs:R8t9a968XNRBQJ3y6depeNJ6JdVfbgg5+qKSsvbPvrKqrDDaSg4/gzCrOt9LGABcpHymJOV0/oisgK9vbr8m7+2wUZzgrhHspMOCyS8WHSIFVQGONPlXtc3uXxG/w8PE7k/UY13u0u80xe0c7B/UrYEKnXS+dfypfXtw9xin78U4ESpa9ixItIy2F17n9Xpc""}},{""cel"":{""k"":""hrt"",""t"":74616}},{""csm"":{""k"":""chk"",""f"":17,""l"":{""cel"":126,""navigation"":1,""csm"":17,""jserr-rw"":3,""cap-ciba"":13},""s"":""full""}},{""csmcount"":{""counter"":""foresterPayloadSize"",""t"":0,""value"":4620}}]}",0,220,32,40,4,good
POST,/1/batch/1/OE/,"{""rid"":""6XHGBC60K7X404235T2J"",""sid"":""259-7074646-0826008"",""mid"":""A21TJRUUN4KGV"",""sn"":""www.amazon.in"",""reqs"":[{""jserr-rw"":{""m"":""Client-side initialization timeout"",""csm"":""v5 ueLogError callee"",""logLevel"":""WARN"",""attribution"":""sign-in-v2"",""pageURL"":""https://www.amazon.in/?&ext_vrnc=hi&tag=googhydrabk1-21&ref=pd_sl_7hz2t19t5c_e&adgrpid=58355126069&hvpone=&hvptwo=&hvadid=678711876615&hvpos=&hvnetw=g&hvrand=13799341232396299986&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9062139&hvtargid=kwd-10573980&hydadcr=14453_2371562"",""s"":[""function(a,b,c,w){b={message:b,logLevel:c||\""ERROR\"",attribution:l(\"":\"",this.attribution,w)};if(d.ueLogError)return d.ueLogError(a||b,a?b:null),!0;console&&console.error&&\n(console.log(b),console.error(a));return!1}"",""function(a,b,c){return this.logError(null,a,b,c)}"",""function(){P.log(\""Client-side initialization timeout\"",\""WARN\"",a)}""],""t"":90268}},{""csmcount"":{""counter"":""foresterPayloadSize"",""t"":0,""value"":951}}]}",0,72,40,18,4,good
GET,/rd/uedata?at&v=0.268030.0&id=6XHGBC60K7X404235T2J&ctb=1&m=1&sc=6XHGBC60K7X404235T2J&pc=90550&at=90550&t=1699104837627&ec=3&ecf=0&pty=Gateway&spty=desktop&pti=desktop&tid=6XHGBC60K7X404235T2J&aftb=1&lob=1,,0,4,30,0,2,good
GET,/1/batch/1/OP/A21TJRUUN4KGV:259-7074646-0826008:6XHGBC60K7X404235T2J$uedata=s:%2Frd%2Fuedata%3Fat%26v%3D0.268030.0%26id%3D6XHGBC60K7X404235T2J%26ctb%3D1%26m%3D1%26sc%3D6XHGBC60K7X404235T2J%26pc%3D90550%26at%3D90550%26t%3D1699104837627%26ec%3D3%26ecf%3D0%26pty%3DGateway%26spty%3Ddesktop%26pti%3Ddesktop%26tid%3D6XHGBC60K7X404235T2J%26aftb%3D1%26lob%3D1:90551,,0,4,29,0,2,good
POST,/1/events/com.amazon.csm.csa.prod,"{""events"":[{""data"":{""messageId"":""3oh9gh-2y816t-4ydn9v-7n7jqx"",""schemaId"":""csa.Error.5"",""errorMessage"":""Client-side initialization timeout"",""attribution"":""sign-in-v2"",""logLevel"":""WARN"",""url"":""https://www.amazon.in/?&ext_vrnc=hi&tag=googhydrabk1-21&ref=pd_sl_7hz2t19t5c_e&adgrpid=58355126069&hvpone=&hvptwo=&hvadid=678711876615&hvpos=&hvnetw=g&hvrand=13799341232396299986&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9062139&hvtargid=kwd-10573980&hydadcr=14453_2371562"",""file"":null,""line"":null,""column"":null,""stack"":[""function(a,b,c,w){b={message:b,logLevel:c||\""ERROR\"",attribution:l(\"":\"",this.attribution,w)};if(d.ueLogError)return d.ueLogError(a||b,a?b:null),!0;console&&console.error&&\n(console.log(b),console.error(a));return!1}"",""function(a,b,c){return this.logError(null,a,b,c)}"",""function(){P.log(\""Client-side initialization timeout\"",\""WARN\"",a)}""],""context"":{},""metadata"":{""csm"":""v5 ueLogError callee""},""timestamp"":""2023-11-04T13:33:57.347Z"",""application"":""Retail:Prod:www.amazon.in"",""obfuscatedMarketplaceId"":""A21TJRUUN4KGV"",""producerId"":""csa"",""entities"":{""page"":{""id"":""f281zu-lm6tyn-unvuuc-xmglsw"",""requestId"":""6XHGBC60K7X404235T2J"",""meaningful"":""interactive"",""url"":""https://www.amazon.in/?&ext_vrnc=hi&tag=googhydrabk1-21&ref=pd_sl_7hz2t19t5c_e&adgrpid=58355126069&hvpone=&hvptwo=&hvadid=678711876615&hvpos=&hvnetw=g&hvrand=13799341232396299986&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9062139&hvtargid=kwd-10573980&hydadcr=14453_2371562"",""server"":""www.amazon.in"",""path"":""/"",""referrer"":""https://www.google.com/"",""title"":""Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in"",""transitionType"":""hard"",""pageType"":""Gateway"",""subPageType"":""desktop"",""pageTypeId"":""desktop""},""session"":{""id"":""259-7074646-0826008""}}}},{""data"":{""messageId"":""nn064o-kenc8v-kiak4o-kbyopb"",""markers"":{""pc"":92391,""at"":92391},""markerTimestamps"":{""pc"":1699104837627,""at"":1699104837627},""navigationStartTimestamp"":""2023-11-04T13:32:25.236Z"",""schemaId"":""csa.PageLatency.5"",""timestamp"":""2023-11-04T13:33:57.627Z"",""application"":""Retail:Prod:www.amazon.in"",""obfuscatedMarketplaceId"":""A21TJRUUN4KGV"",""producerId"":""csa"",""entities"":{""page"":{""id"":""f281zu-lm6tyn-unvuuc-xmglsw"",""requestId"":""6XHGBC60K7X404235T2J"",""pageType"":""Gateway"",""subPageType"":""desktop""},""session"":{""id"":""259-7074646-0826008""}}}},{""data"":{""messageId"":""okf0no-hj8gyl-edjec5-rmgjsk"",""schemaId"":""csa.InternalCounters.2"",""c"":{""postbackImageSize"":{""s"":1586,""l"":204,""c"":4}},""timestamp"":""2023-11-04T13:33:57.628Z"",""application"":""Retail:Prod:www.amazon.in"",""obfuscatedMarketplaceId"":""A21TJRUUN4KGV"",""producerId"":""csa"",""entities"":{""page"":{""id"":""f281zu-lm6tyn-unvuuc-xmglsw"",""requestId"":""6XHGBC60K7X404235T2J"",""pageType"":""Gateway"",""subPageType"":""desktop""},""session"":{""id"":""259-7074646-0826008""}}}}]}",0,266,56,52,4,good
GET,/update/3/GMP/102.5.0/20221107191025/Linux_x86_64-gcc3/null/esr/Linux%206.0.0-kali3-amd64%20(GTK%203.24.34%2Clibpulse%2016.1.0)/Kali/1.0/update.xml,,0,0,21,0,1,good
POST,/1/batch/1/OE/,"{""rid"":""6XHGBC60K7X404235T2J"",""sid"":""259-7074646-0826008"",""mid"":""A21TJRUUN4KGV"",""sn"":""www.amazon.in"",""reqs"":[{""cap-ciba"":{""k"":""fwcim"",""r"":""6XHGBC60K7X404235T2J"",""p"":""https://www.amazon.in/?&ext_vrnc=hi&tag=googhydrabk1-21&ref=pd_sl_7hz2t19t5c_e&adgrpid=58355126069&hvpone=&hvptwo=&hvadid=678711876615&hvpos=&hvnetw=g&hvrand=13799341232396299986&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9062139&hvtargid=kwd-10573980&hydadcr=14453_2371562"",""c"":null,""t"":1699104811698,""type"":""inc"",""md"":""ECdITeCs:TFalTwRtUiXTKkUPHMhPYzYtVBJiY1Iy3m6wYVhyh18dB6pvuQjjz3HwBFaaSSAC6puy8NpH2g3bxZGnRjtL6f2B9ycm+sI0cPYv0vNkTj3Vl0RXlTwINduEyEibCfT7CchenAEW49Ylr94yKOOIpleH+ilW9q0bDjgYDGzn9PjZTeU3XmdO6/0OaHfee3ll""}},{""cap-ciba"":{""k"":""fwcim"",""r"":""6XHGBC60K7X404235T2J"",""p"":""https://www.amazon.in/?&ext_vrnc=hi&tag=googhydrabk1-21&ref=pd_sl_7hz2t19t5c_e&adgrpid=58355126069&hvpone=&hvptwo=&hvadid=678711876615&hvpos=&hvnetw=g&hvrand=13799341232396299986&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9062139&hvtargid=kwd-10573980&hydadcr=14453_2371562"",""c"":null,""t"":1699104816700,""type"":""inc"",""md"":""ECdITeCs:/hniCcpFz9gdf7X3pVgHsT3amZn4VM7xyGINw9pGro0Eos79NutVM88WlZI55q8/STEambsQNkLJXgFdZrwA9ff7nrac9+h9w/z4gFednVWFd4WijNXX/1fAPG5PikJ4hFMSnclUH1mfPBiaUqBRaFmEDSNkjb6ptPi4FMmoSXMvUmr7GlFTXAfbxtOUoJob""}},{""cap-ciba"":{""k"":""fwcim"",""r"":""6XHGBC60K7X404235T2J"",""p"":""https://www.amazon.in/?&ext_vrnc=hi&tag=googhydrabk1-21&ref=pd_sl_7hz2t19t5c_e&adgrpid=58355126069&hvpone=&hvptwo=&hvadid=678711876615&hvpos=&hvnetw=g&hvrand=13799341232396299986&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9062139&hvtargid=kwd-10573980&hydadcr=14453_2371562"",""c"":null,""t"":1699104821700,""type"":""inc"",""md"":""ECdITeCs:10Q5NVa62z72ZfjpEC5yKDawaglHCt5RAVil7C4rG2unQeBPhaeVnHkozM8JRJBL9pC1FH+GQxMMfa8vLEaovLkM4dg1z9F2gYI7RNbvcP7fnm+7sYEAH2bVx3+WesJOsBA13KgQ/vhnZFZg7SU6npRpz6Z3mueTpxFY4y6BDlIsTWUsB96E4JM8CL2tMt20""}},{""cap-ciba"":{""k"":""fwcim"",""r"":""6XHGBC60K7X404235T2J"",""p"":""https://www.amazon.in/?&ext_vrnc=hi&tag=googhydrabk1-21&ref=pd_sl_7hz2t19t5c_e&adgrpid=58355126069&hvpone=&hvptwo=&hvadid=678711876615&hvpos=&hvnetw=g&hvrand=13799341232396299986&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9062139&hvtargid=kwd-10573980&hydadcr=14453_2371562"",""c"":null,""t"":1699104826701,""type"":""inc"",""md"":""ECdITeCs:bcvROGzh/3rDM1564wkVXm/+WEScc26FLk1WZtGlokHj4qSXp4vvxvlU3mgw9jnoF6/U49jf7LC5y16u7Q+Xb/SpFEhZXwg9FCfyoJqPbLiB8E7sdKuJkgSxZzRWmntMKwdQrevUCCUW1mN8uuVyBP7YRetD/spN6IDOtPQyg6zaTDZ55m9HUgQswNlzkkRy""}},{""cap-ciba"":{""k"":""fwcim"",""r"":""6XHGBC60K7X404235T2J"",""p"":""https://www.amazon.in/?&ext_vrnc=hi&tag=googhydrabk1-21&ref=pd_sl_7hz2t19t5c_e&adgrpid=58355126069&hvpone=&hvptwo=&hvadid=678711876615&hvpos=&hvnetw=g&hvrand=13799341232396299986&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9062139&hvtargid=kwd-10573980&hydadcr=14453_2371562"",""c"":null,""t"":1699104831699,""type"":""inc"",""md"":""ECdITeCs:qta9zzJHto8UhAT4+uv1eN0KZhLrc7+jw3EpmDusaoZBL3M9z5iSrz2C1e2DjB0y84/y5jiKh1GsNkECNuHBJoYlKupYdqbw6ecW/QT4/BEon7NtjtFyPTcsNEoZ0hMDQZzDtlz5EJi1jpkvWc3UUKXI3VJjoPR5uicrfg6R6lyINXSDU09fceQp/rY7hUyr""}},{""cap-ciba"":{""k"":""fwcim"",""r"":""6XHGBC60K7X404235T2J"",""p"":""https://www.amazon.in/?&ext_vrnc=hi&tag=googhydrabk1-21&ref=pd_sl_7hz2t19t5c_e&adgrpid=58355126069&hvpone=&hvptwo=&hvadid=678711876615&hvpos=&hvnetw=g&hvrand=13799341232396299986&hvqmt=e&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9062139&hvtargid=kwd-10573980&hydadcr=14453_2371562"",""c"":null,""t"":1699104836699,""type"":""inc"",""md"":""ECdITeCs:2EU+hGcJQpNX28um2ovncsTbCUTjsG0oqXeJKXq/+NknPuM8qnEgBzEgdRrWKOlNDZTZ3K9V7+vyBEa2AmQcamRnyvrJwAJc+4siEh6dOf9gdhsgpBpiS4p6lxDP45rh7Qb47oI2aRdkLCSDeRMIQY04GUwd0XOyRgRIlyvW+1vpcXuYeWFQmfSVlf7RPDz/""}},{""cel"":{""k"":""hrt"",""t"":104617}},{""cel"":{""k"":""hrt"",""t"":104618}},{""csm"":{""k"":""chk"",""f"":18,""l"":{""cel"":128,""navigation"":1,""csm"":18,""jserr-rw"":4,""cap-ciba"":19},""s"":""full""}},{""csmcount"":{""counter"":""foresterPayloadSize"",""t"":0,""value"":3852}}]}",0,228,32,44,4,good
